candidate,round1,round2,round3,round4,round5,round6,round7,round8,impute,trial,rank
LONDON BREED,91918,91921,92039,92233,93363,96028,101335,113247,original,1,1
MARK LENO,61276,61276,61392,61734,62675,63837,67902,110979,original,1,2
JANE KIM,60644,60644,60735,61320,61727,63059,65549,NA,original,1,3
ANGELA ALIOTO,17447,17447,17628,17810,19463,21609,NA,NA,original,1,4
ELLEN LEE ZHOU,9521,9521,9631,9758,10526,NA,NA,NA,original,1,5
RICHIE GREENBERG,7016,7016,7093,7189,NA,NA,NA,NA,original,1,6
AMY FARAH WEISS,1661,1661,1720,NA,NA,NA,NA,NA,original,1,7
MICHELLE BRAVO,890,890,NA,NA,NA,NA,NA,NA,original,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,original,1,9
"NA",3640,3640,3778,3972,6262,9483,19230,29790,original,1,10
LONDON BREED,57495,57498,57603,57782,58672,60956,65225,79927,listwise,1,1
JANE KIM,48038,48038,48116,48677,49022,50217,52457,78220,listwise,1,2
MARK LENO,43385,43385,43486,43807,44584,45628,49081,NA,listwise,1,3
ANGELA ALIOTO,11489,11489,11644,11813,13049,15022,NA,NA,listwise,1,4
ELLEN LEE ZHOU,6842,6842,6934,7056,7665,NA,NA,NA,listwise,1,5
RICHIE GREENBERG,3944,3944,4013,4102,NA,NA,NA,NA,listwise,1,6
AMY FARAH WEISS,1441,1441,1495,NA,NA,NA,NA,NA,listwise,1,7
MICHELLE BRAVO,654,654,NA,NA,NA,NA,NA,NA,listwise,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,listwise,1,9
"NA",0,0,0,54,299,1468,6528,15144,listwise,1,10
MARK LENO,61515,61515,61675,62068,63748,65642,71505,116621,nothing,1,1
LONDON BREED,92197,92200,92342,92560,94059,97085,103236,116072,nothing,1,2
JANE KIM,60837,60837,60957,61587,62576,64458,68277,NA,nothing,1,3
ANGELA ALIOTO,17600,17600,17812,18014,19969,22389,NA,NA,nothing,1,4
ELLEN LEE ZHOU,9597,9597,9714,9849,10693,NA,NA,NA,nothing,1,5
RICHIE GREENBERG,7062,7062,7144,7248,NA,NA,NA,NA,nothing,1,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,nothing,1,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,1,9
"NA",0,0,0,72,353,1824,8380,18705,nothing,1,10
MARK LENO,61515,61515,61677,62081,63778,65684,71557,116709,nothing,2,1
LONDON BREED,92197,92200,92344,92555,94061,97072,103219,116035,nothing,2,2
JANE KIM,60837,60837,60967,61595,62560,64437,68261,NA,nothing,2,3
ANGELA ALIOTO,17600,17600,17809,18012,19963,22387,NA,NA,nothing,2,4
ELLEN LEE ZHOU,9597,9597,9712,9843,10692,NA,NA,NA,nothing,2,5
RICHIE GREENBERG,7062,7062,7143,7248,NA,NA,NA,NA,nothing,2,6
AMY FARAH WEISS,1683,1683,1746,NA,NA,NA,NA,NA,nothing,2,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,2,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,2,9
"NA",0,0,0,64,344,1818,8361,18654,nothing,2,10
MARK LENO,61515,61515,61678,62066,63771,65688,71510,116713,nothing,3,1
LONDON BREED,92197,92200,92347,92571,94095,97120,103267,116094,nothing,3,2
JANE KIM,60837,60837,60961,61590,62556,64410,68278,NA,nothing,3,3
ANGELA ALIOTO,17600,17600,17806,18010,19942,22361,NA,NA,nothing,3,4
ELLEN LEE ZHOU,9597,9597,9714,9847,10682,NA,NA,NA,nothing,3,5
RICHIE GREENBERG,7062,7062,7143,7248,NA,NA,NA,NA,nothing,3,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,nothing,3,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,3,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,3,9
"NA",0,0,0,66,352,1819,8343,18591,nothing,3,10
MARK LENO,61515,61515,61692,62088,63733,65625,71404,116466,nothing,4,1
LONDON BREED,92197,92200,92342,92565,94085,97098,103275,116112,nothing,4,2
JANE KIM,60837,60837,60961,61587,62576,64461,68323,NA,nothing,4,3
ANGELA ALIOTO,17600,17600,17804,18006,19973,22390,NA,NA,nothing,4,4
ELLEN LEE ZHOU,9597,9597,9712,9844,10690,NA,NA,NA,nothing,4,5
RICHIE GREENBERG,7062,7062,7140,7244,NA,NA,NA,NA,nothing,4,6
AMY FARAH WEISS,1683,1683,1747,NA,NA,NA,NA,NA,nothing,4,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,4,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,4,9
"NA",0,0,0,64,341,1824,8396,18820,nothing,4,10
MARK LENO,61515,61515,61690,62081,63753,65626,71491,116582,nothing,5,1
LONDON BREED,92197,92200,92335,92546,94040,97078,103233,116082,nothing,5,2
JANE KIM,60837,60837,60963,61596,62590,64447,68266,NA,nothing,5,3
ANGELA ALIOTO,17600,17600,17808,18017,19962,22401,NA,NA,nothing,5,4
ELLEN LEE ZHOU,9597,9597,9712,9847,10709,NA,NA,NA,nothing,5,5
RICHIE GREENBERG,7062,7062,7141,7245,NA,NA,NA,NA,nothing,5,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,nothing,5,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,5,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,5,9
"NA",0,0,0,66,344,1846,8408,18734,nothing,5,10
MARK LENO,61515,61515,61680,62080,63781,65676,71484,116633,nothing,6,1
LONDON BREED,92197,92200,92344,92563,94077,97107,103281,116101,nothing,6,2
JANE KIM,60837,60837,60968,61588,62566,64452,68309,NA,nothing,6,3
ANGELA ALIOTO,17600,17600,17802,18013,19939,22347,NA,NA,nothing,6,4
ELLEN LEE ZHOU,9597,9597,9718,9847,10689,NA,NA,NA,nothing,6,5
RICHIE GREENBERG,7062,7062,7141,7245,NA,NA,NA,NA,nothing,6,6
AMY FARAH WEISS,1683,1683,1745,NA,NA,NA,NA,NA,nothing,6,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,6,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,6,9
"NA",0,0,0,62,346,1816,8324,18664,nothing,6,10
MARK LENO,61515,61515,61680,62066,63751,65626,71449,116573,nothing,7,1
LONDON BREED,92197,92200,92357,92585,94093,97123,103329,116202,nothing,7,2
JANE KIM,60837,60837,60956,61579,62569,64444,68241,NA,nothing,7,3
ANGELA ALIOTO,17600,17600,17802,18009,19938,22370,NA,NA,nothing,7,4
ELLEN LEE ZHOU,9597,9597,9714,9847,10700,NA,NA,NA,nothing,7,5
RICHIE GREENBERG,7062,7062,7143,7249,NA,NA,NA,NA,nothing,7,6
AMY FARAH WEISS,1683,1683,1746,NA,NA,NA,NA,NA,nothing,7,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,7,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,7,9
"NA",0,0,0,63,347,1835,8379,18623,nothing,7,10
MARK LENO,61515,61515,61673,62076,63739,65624,71396,116509,nothing,8,1
LONDON BREED,92197,92200,92350,92568,94078,97113,103365,116207,nothing,8,2
JANE KIM,60837,60837,60971,61596,62597,64485,68273,NA,nothing,8,3
ANGELA ALIOTO,17600,17600,17802,18001,19944,22359,NA,NA,nothing,8,4
ELLEN LEE ZHOU,9597,9597,9712,9842,10684,NA,NA,NA,nothing,8,5
RICHIE GREENBERG,7062,7062,7141,7248,NA,NA,NA,NA,nothing,8,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,nothing,8,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,8,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,8,9
"NA",0,0,0,67,356,1817,8364,18682,nothing,8,10
MARK LENO,61515,61515,61690,62088,63784,65698,71519,116666,nothing,9,1
LONDON BREED,92197,92200,92337,92554,94036,97072,103292,116169,nothing,9,2
JANE KIM,60837,60837,60963,61585,62561,64428,68238,NA,nothing,9,3
ANGELA ALIOTO,17600,17600,17801,18007,19958,22363,NA,NA,nothing,9,4
ELLEN LEE ZHOU,9597,9597,9716,9852,10710,NA,NA,NA,nothing,9,5
RICHIE GREENBERG,7062,7062,7142,7246,NA,NA,NA,NA,nothing,9,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,nothing,9,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,9,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,9,9
"NA",0,0,0,66,349,1837,8349,18563,nothing,9,10
MARK LENO,61515,61515,61686,62086,63771,65666,71501,116588,nothing,10,1
LONDON BREED,92197,92200,92333,92552,94051,97063,103205,116059,nothing,10,2
JANE KIM,60837,60837,60967,61587,62559,64404,68233,NA,nothing,10,3
ANGELA ALIOTO,17600,17600,17801,18009,19968,22435,NA,NA,nothing,10,4
ELLEN LEE ZHOU,9597,9597,9719,9852,10702,NA,NA,NA,nothing,10,5
RICHIE GREENBERG,7062,7062,7144,7247,NA,NA,NA,NA,nothing,10,6
AMY FARAH WEISS,1683,1683,1748,NA,NA,NA,NA,NA,nothing,10,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,10,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,10,9
"NA",0,0,0,65,347,1830,8459,18751,nothing,10,10
LONDON BREED,92197,92200,92348,92562,94115,97461,104316,117161,vote_choice,1,1
MARK LENO,61515,61515,61656,62030,63370,64813,70032,115736,vote_choice,1,2
JANE KIM,60837,60837,60942,61586,62168,63820,67066,NA,vote_choice,1,3
ANGELA ALIOTO,17600,17600,17827,18032,20397,23066,NA,NA,vote_choice,1,4
ELLEN LEE ZHOU,9597,9597,9722,9859,10928,NA,NA,NA,vote_choice,1,5
RICHIE GREENBERG,7062,7062,7152,7261,NA,NA,NA,NA,vote_choice,1,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice,1,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,1,9
"NA",0,0,0,68,420,2238,9984,18501,vote_choice,1,10
